Zeit;Kanal A
(ms);(mV)

-23,33333243;2,32683300
-23,32833243;2,79127700
-23,32333243;2,32683300
-23,31833243;1,86085100
-23,31333243;1,86085100
-23,30833243;2,32683300
-23,30333243;2,32683300
-23,29833243;1,86085100
-23,29333243;1,39486900
-23,28833243;1,39486900
-23,28333243;1,39486900
-23,27833243;1,39486900
-23,27333243;0,93042560
-23,26833243;0,93042560
-23,26333243;0,46444390
-23,25833243;0,00000000
-23,25333243;0,00000000
-23,24833243;-0,46444390
-23,24333243;0,00000000
-23,23833243;0,00000000
-23,23333243;-1,39486900
-23,22833243;-0,46444390
-23,22333243;-1,39486900
-23,21833243;-0,93042560
-23,21333243;-0,93042560
-23,20833243;-1,39486900
-23,20333243;-2,32683300
-23,19833243;-2,32683300
-23,19333243;-1,86085100
-23,18833243;-2,32683300
-23,18333243;-2,32683300
-23,17833243;-3,25725900
-23,17333243;-3,25725900
-23,16833243;-3,72170300
-23,16333243;-3,72170300
-23,15833243;-4,18768400
-23,15333243;-4,65366600
-23,14833243;-4,65366600
-23,14333243;-5,11811000
-23,13833243;-5,11811000
-23,13333243;-5,58409200
-23,12833243;-5,11811000
-23,12333243;-4,18768400
-23,11833243;-4,65366600
-23,11333243;-3,72170300
-23,10833243;-5,11811000
-23,10333243;-3,72170300
-23,09833243;-3,72170300
-23,09333243;-3,25725900
-23,08833243;-2,32683300
-23,08333243;-2,79127700
-23,07833243;-0,93042560
-23,07333243;-1,39486900
-23,06833243;0,00000000
-23,06333243;0,46444390
-23,05833243;0,46444390
-23,05333243;1,86085100
-23,04833243;1,86085100
-23,04333243;1,39486900
-23,03833243;1,39486900
-23,03333243;3,25725900
-23,02833244;3,25725900
-23,02333244;3,25725900
-23,01833244;3,25725900
-23,01333244;3,25725900
-23,00833244;3,25725900
-23,00333244;3,25725900
-22,99833244;3,25725900
-22,99333244;4,18768400
-22,98833244;4,18768400
-22,98333244;3,25725900
-22,97833244;2,79127700
-22,97333244;3,72170300
-22,96833244;3,25725900
-22,96333244;2,79127700
-22,95833244;2,32683300
-22,95333244;3,25725900
-22,94833244;2,79127700
-22,94333244;2,79127700
-22,93833244;2,32683300
-22,93333244;1,86085100
-22,92833244;2,32683300
-22,92333244;1,39486900
-22,91833244;0,46444390
-22,91333244;0,93042560
-22,90833244;0,93042560
-22,90333244;1,39486900
-22,89833244;0,46444390
-22,89333244;1,39486900
-22,88833244;1,39486900
-22,88333244;0,93042560
-22,87833244;0,93042560
-22,87333244;0,93042560
-22,86833244;1,39486900
-22,86333244;0,93042560
-22,85833244;0,46444390
-22,85333244;0,46444390
-22,84833244;0,46444390
-22,84333244;0,00000000
-22,83833244;0,46444390
-22,83333244;-0,46444390
-22,82833244;0,46444390
-22,82333244;-0,46444390
-22,81833244;-0,46444390
-22,81333244;-1,39486900
-22,80833244;-0,93042560
-22,80333244;-1,86085100
-22,79833244;-1,86085100
-22,79333244;-1,86085100
-22,78833244;-2,79127700
-22,78333244;-2,32683300
-22,77833244;-3,25725900
-22,77333244;-3,25725900
-22,76833244;-4,18768400
-22,76333244;-3,25725900
-22,75833244;-3,25725900
-22,75333244;-3,25725900
-22,74833244;-4,65366600
-22,74333244;-4,65366600
-22,73833244;-5,11811000
-22,73333244;-5,11811000
-22,72833244;-4,65366600
-22,72333244;-4,65366600
-22,71833244;-4,18768400
-22,71333244;-4,65366600
-22,70833244;-4,18768400
-22,70333244;-3,72170300
-22,69833244;-2,79127700
-22,69333244;-2,32683300
-22,68833244;-1,86085100
-22,68333244;-2,79127700
-22,67833244;-1,86085100
-22,67333244;-0,93042560
-22,66833244;-0,46444390
-22,66333244;0,46444390
-22,65833244;0,46444390
-22,65333244;0,93042560
-22,64833244;1,86085100
-22,64333244;1,86085100
-22,63833244;3,25725900
-22,63333245;3,25725900
-22,62833245;3,25725900
-22,62333245;3,72170300
-22,61833245;4,18768400
-22,61333245;3,72170300
-22,60833245;3,72170300
-22,60333245;4,65366600
-22,59833245;4,18768400
-22,59333245;3,72170300
-22,58833245;4,65366600
-22,58333245;3,72170300
-22,57833245;4,65366600
-22,57333245;3,25725900
-22,56833245;4,18768400
-22,56333245;3,72170300
-22,55833245;2,79127700
-22,55333245;2,79127700
-22,54833245;1,86085100
-22,54333245;2,32683300
-22,53833245;1,39486900
-22,53333245;0,93042560
-22,52833245;0,93042560
-22,52333245;0,93042560
-22,51833245;0,46444390
-22,51333245;0,46444390
-22,50833245;0,93042560
-22,50333245;0,46444390
-22,49833245;0,46444390
-22,49333245;0,00000000
-22,48833245;0,93042560
-22,48333245;0,93042560
-22,47833245;1,39486900
-22,47333245;0,93042560
-22,46833245;1,86085100
-22,46333245;0,93042560
-22,45833245;1,39486900
-22,45333245;0,93042560
-22,44833245;0,93042560
-22,44333245;0,46444390
-22,43833245;0,93042560
-22,43333245;0,93042560
-22,42833245;0,00000000
-22,42333245;-0,46444390
-22,41833245;-1,39486900
-22,41333245;-0,93042560
-22,40833245;-2,32683300
-22,40333245;-2,32683300
-22,39833245;-2,79127700
-22,39333245;-3,25725900
-22,38833245;-3,25725900
-22,38333245;-2,32683300
-22,37833245;-4,65366600
-22,37333245;-4,18768400
-22,36833245;-4,65366600
-22,36333245;-4,65366600
-22,35833245;-4,18768400
-22,35333245;-4,65366600
-22,34833245;-6,04853500
-22,34333245;-4,18768400
-22,33833245;-4,18768400
-22,33333245;-4,65366600
-22,32833245;-4,18768400
-22,32333245;-3,72170300
-22,31833245;-4,18768400
-22,31333245;-3,72170300
-22,30833245;-3,72170300
-22,30333245;-3,72170300
-22,29833245;-2,79127700
-22,29333245;-2,32683300
-22,28833245;-2,32683300
-22,28333245;-1,39486900
-22,27833245;-0,93042560
-22,27333245;0,00000000
-22,26833245;0,46444390
-22,26333245;0,93042560
-22,25833245;2,32683300
-22,25333245;1,86085100
-22,24833245;1,86085100
-22,24333245;2,79127700
-22,23833246;3,72170300
-22,23333246;3,25725900
-22,22833246;3,25725900
-22,22333246;3,72170300
-22,21833246;3,25725900
-22,21333246;4,18768400
-22,20833246;2,79127700
-22,20333246;3,72170300
-22,19833246;3,25725900
-22,19333246;3,25725900
-22,18833246;3,25725900
-22,18333246;2,79127700
-22,17833246;4,65366600
-22,17333246;3,72170300
-22,16833246;2,79127700
-22,16333246;3,25725900
-22,15833246;2,32683300
-22,15333246;3,25725900
-22,14833246;3,25725900
-22,14333246;3,72170300
-22,13833246;2,79127700
-22,13333246;3,25725900
-22,12833246;2,79127700
-22,12333246;1,39486900
-22,11833246;2,32683300
-22,11333246;1,39486900
-22,10833246;2,32683300
-22,10333246;0,93042560
-22,09833246;1,39486900
-22,09333246;0,46444390
-22,08833246;1,86085100
-22,08333246;0,00000000
-22,07833246;0,46444390
-22,07333246;-0,46444390
-22,06833246;0,00000000
-22,06333246;-0,46444390
-22,05833246;-0,46444390
-22,05333246;0,46444390
-22,04833246;0,00000000
-22,04333246;-0,93042560
-22,03833246;-0,93042560
-22,03333246;0,46444390
-22,02833246;-0,46444390
-22,02333246;0,93042560
-22,01833246;0,93042560
-22,01333246;-0,93042560
-22,00833246;-1,39486900
-22,00333246;-1,39486900
-21,99833246;-1,86085100
-21,99333246;-1,86085100
-21,98833246;-2,79127700
-21,98333246;-3,72170300
-21,97833246;-3,72170300
-21,97333246;-4,65366600
-21,96833246;-4,65366600
-21,96333246;-5,11811000
-21,95833246;-4,65366600
-21,95333246;-6,04853500
-21,94833246;-5,58409200
-21,94333246;-6,04853500
-21,93833246;-5,11811000
-21,93333246;-4,65366600
-21,92833246;-4,65366600
-21,92333246;-3,72170300
-21,91833246;-5,11811000
-21,91333246;-3,25725900
-21,90833246;-3,72170300
-21,90333246;-2,32683300
-21,89833246;-2,79127700
-21,89333246;-1,39486900
-21,88833246;-0,93042560
-21,88333246;-1,39486900
-21,87833246;0,00000000
-21,87333246;-0,46444390
-21,86833246;0,46444390
-21,86333246;0,93042560
-21,85833246;0,46444390
-21,85333246;1,86085100
-21,84833246;1,86085100
-21,84333246;1,39486900
-21,83833247;3,25725900
-21,83333247;2,32683300
-21,82833247;2,32683300
-21,82333247;2,79127700
-21,81833247;3,25725900
-21,81333247;3,25725900
-21,80833247;3,25725900
-21,80333247;2,79127700
-21,79833247;3,72170300
-21,79333247;4,18768400
-21,78833247;3,72170300
-21,78333247;2,32683300
-21,77833247;3,25725900
-21,77333247;3,25725900
-21,76833247;3,25725900
-21,76333247;3,72170300
-21,75833247;2,32683300
-21,75333247;3,25725900
-21,74833247;3,25725900
-21,74333247;1,86085100
-21,73833247;2,79127700
-21,73333247;2,79127700
-21,72833247;1,39486900
-21,72333247;2,32683300
-21,71833247;0,93042560
-21,71333247;0,93042560
-21,70833247;0,93042560
-21,70333247;1,86085100
-21,69833247;1,39486900
-21,69333247;0,93042560
-21,68833247;1,39486900
-21,68333247;0,46444390
-21,67833247;0,46444390
-21,67333247;0,00000000
-21,66833247;0,46444390
-21,66333247;1,86085100
-21,65833247;0,00000000
-21,65333247;0,00000000
-21,64833247;0,46444390
-21,64333247;-0,93042560
-21,63833247;0,00000000
-21,63333247;-1,39486900
-21,62833247;-0,46444390
-21,62333247;-1,39486900
-21,61833247;-1,86085100
-21,61333247;-1,86085100
-21,60833247;-1,86085100
-21,60333247;-1,86085100
-21,59833247;-2,79127700
-21,59333247;-3,25725900
-21,58833247;-2,79127700
-21,58333247;-1,86085100
-21,57833247;-4,18768400
-21,57333247;-3,72170300
-21,56833247;-4,18768400
-21,56333247;-3,72170300
-21,55833247;-3,72170300
-21,55333247;-4,65366600
-21,54833247;-5,11811000
-21,54333247;-3,72170300
-21,53833247;-4,65366600
-21,53333247;-4,18768400
-21,52833247;-3,25725900
-21,52333247;-4,65366600
-21,51833247;-4,18768400
-21,51333247;-4,18768400
-21,50833247;-3,72170300
-21,50333247;-4,18768400
-21,49833247;-3,25725900
-21,49333247;-1,86085100
-21,48833247;-1,86085100
-21,48333247;-0,93042560
-21,47833247;-0,46444390
-21,47333247;0,46444390
-21,46833247;0,93042560
-21,46333247;0,93042560
-21,45833247;2,79127700
-21,45333247;2,32683300
-21,44833247;2,79127700
-21,44333248;2,79127700
-21,43833248;2,79127700
-21,43333248;4,18768400
-21,42833248;4,18768400
-21,42333248;4,18768400
-21,41833248;5,11811000
-21,41333248;3,72170300
-21,40833248;5,58409200
-21,40333248;3,72170300
-21,39833248;3,25725900
-21,39333248;2,79127700
-21,38833248;3,25725900
-21,38333248;3,25725900
-21,37833248;1,86085100
-21,37333248;2,79127700
-21,36833248;2,32683300
-21,36333248;2,32683300
-21,35833248;2,79127700
-21,35333248;2,32683300
-21,34833248;2,32683300
-21,34333248;1,86085100
-21,33833248;1,39486900
-21,33333248;1,86085100
-21,32833248;1,39486900
-21,32333248;1,39486900
-21,31833248;1,39486900
-21,31333248;0,93042560
-21,30833248;1,86085100
-21,30333248;0,46444390
-21,29833248;1,39486900
-21,29333248;0,46444390
-21,28833248;0,93042560
-21,28333248;0,00000000
-21,27833248;1,39486900
-21,27333248;1,39486900
-21,26833248;0,00000000
-21,26333248;-0,93042560
-21,25833248;0,00000000
-21,25333248;-1,39486900
-21,24833248;0,00000000
-21,24333248;-0,46444390
-21,23833248;0,46444390
-21,23333248;-0,93042560
-21,22833248;-1,39486900
-21,22333248;-1,39486900
-21,21833248;-2,32683300
-21,21333248;-1,86085100
-21,20833248;-2,32683300
-21,20333248;-1,86085100
-21,19833248;-2,79127700
-21,19333248;-4,65366600
-21,18833248;-3,25725900
-21,18333248;-4,18768400
-21,17833248;-3,72170300
-21,17333248;-5,11811000
-21,16833248;-5,11811000
-21,16333248;-5,58409200
-21,15833248;-4,18768400
-21,15333248;-4,65366600
-21,14833248;-5,11811000
-21,14333248;-4,18768400
-21,13833248;-4,65366600
-21,13333248;-4,65366600
-21,12833248;-4,18768400
-21,12333248;-3,25725900
-21,11833248;-3,72170300
-21,11333248;-3,25725900
-21,10833248;-2,79127700
-21,10333248;-2,32683300
-21,09833248;-1,86085100
-21,09333248;-0,46444390
-21,08833248;-0,46444390
-21,08333248;0,00000000
-21,07833248;-0,46444390
-21,07333248;0,93042560
-21,06833248;1,39486900
-21,06333248;1,39486900
-21,05833248;1,86085100
-21,05333248;2,32683300
-21,04833249;3,25725900
-21,04333249;2,79127700
-21,03833249;3,25725900
-21,03333249;3,25725900
-21,02833249;4,18768400
-21,02333249;3,72170300
-21,01833249;4,65366600
-21,01333249;4,18768400
-21,00833249;4,65366600
-21,00333249;3,72170300
-20,99833249;4,18768400
-20,99333249;3,25725900
-20,98833249;4,18768400
-20,98333249;3,25725900
-20,97833249;3,72170300
-20,97333249;2,79127700
-20,96833249;3,25725900
-20,96333249;1,86085100
-20,95833249;2,79127700
-20,95333249;2,79127700
-20,94833249;2,79127700
-20,94333249;2,79127700
-20,93833249;2,32683300
-20,93333249;1,39486900
-20,92833249;1,39486900
-20,92333249;0,93042560
-20,91833249;0,93042560
-20,91333249;0,93042560
-20,90833249;0,93042560
-20,90333249;0,93042560
-20,89833249;0,93042560
-20,89333249;0,46444390
-20,88833249;0,00000000
-20,88333249;0,93042560
-20,87833249;0,00000000
-20,87333249;0,46444390
-20,86833249;-0,46444390
-20,86333249;-0,46444390
-20,85833249;-0,93042560
-20,85333249;0,00000000
-20,84833249;-0,93042560
-20,84333249;-0,93042560
-20,83833249;-0,93042560
-20,83333249;-0,93042560
-20,82833249;-1,86085100
-20,82333249;-1,86085100
-20,81833249;-1,39486900
-20,81333249;-1,86085100
-20,80833249;-2,32683300
-20,80333249;-1,86085100
-20,79833249;-3,25725900
-20,79333249;-3,25725900
-20,78833249;-3,25725900
-20,78333249;-3,25725900
-20,77833249;-4,65366600
-20,77333249;-4,65366600
-20,76833249;-5,11811000
-20,76333249;-5,58409200
-20,75833249;-6,04853500
-20,75333249;-6,04853500
-20,74833249;-4,18768400
-20,74333249;-5,58409200
-20,73833249;-5,11811000
-20,73333249;-4,18768400
-20,72833249;-4,65366600
-20,72333249;-3,72170300
-20,71833249;-3,25725900
-20,71333249;-2,79127700
-20,70833249;-2,32683300
-20,70333249;-2,32683300
-20,69833249;-2,32683300
-20,69333249;-0,93042560
-20,68833249;-0,93042560
-20,68333249;-0,93042560
-20,67833249;0,46444390
-20,67333249;0,93042560
-20,66833249;1,39486900
-20,66333249;1,86085100
-20,65833249;2,79127700
-20,65333250;1,86085100
-20,64833250;2,79127700
-20,64333250;2,32683300
-20,63833250;3,72170300
-20,63333250;2,79127700
-20,62833250;3,25725900
-20,62333250;3,25725900
-20,61833250;2,79127700
-20,61333250;4,18768400
-20,60833250;3,25725900
-20,60333250;3,72170300
-20,59833250;3,72170300
-20,59333250;2,79127700
-20,58833250;3,72170300
-20,58333250;4,18768400
-20,57833250;3,25725900
-20,57333250;3,25725900
-20,56833250;2,32683300
-20,56333250;2,32683300
-20,55833250;2,79127700
-20,55333250;2,32683300
-20,54833250;1,39486900
-20,54333250;1,86085100
-20,53833250;2,32683300
-20,53333250;1,86085100
-20,52833250;1,86085100
-20,52333250;0,93042560
-20,51833250;0,46444390
-20,51333250;1,86085100
-20,50833250;0,00000000
-20,50333250;0,46444390
-20,49833250;0,46444390
-20,49333250;0,46444390
-20,48833250;0,00000000
-20,48333250;0,46444390
-20,47833250;0,00000000
-20,47333250;-0,46444390
-20,46833250;0,46444390
-20,46333250;0,00000000
-20,45833250;0,00000000
-20,45333250;0,46444390
-20,44833250;0,00000000
-20,44333250;-0,46444390
-20,43833250;-1,86085100
-20,43333250;-0,93042560
-20,42833250;-2,32683300
-20,42333250;-0,93042560
-20,41833250;-1,86085100
-20,41333250;-2,32683300
-20,40833250;-2,79127700
-20,40333250;-3,25725900
-20,39833250;-2,79127700
-20,39333250;-2,79127700
-20,38833250;-3,72170300
-20,38333250;-4,18768400
-20,37833250;-4,65366600
-20,37333250;-3,72170300
-20,36833250;-5,11811000
-20,36333250;-4,18768400
-20,35833250;-4,18768400
-20,35333250;-3,72170300
-20,34833250;-4,18768400
-20,34333250;-4,18768400
-20,33833250;-4,18768400
-20,33333250;-4,18768400
-20,32833250;-2,79127700
-20,32333250;-3,72170300
-20,31833250;-3,72170300
-20,31333250;-2,79127700
-20,30833250;-2,79127700
-20,30333250;-2,32683300
-20,29833250;-1,39486900
-20,29333250;-1,39486900
-20,28833250;0,00000000
-20,28333250;-0,46444390
-20,27833250;0,00000000
-20,27333250;0,00000000
-20,26833250;0,46444390
-20,26333250;2,32683300
-20,25833251;2,32683300
-20,25333251;1,86085100
-20,24833251;2,79127700
-20,24333251;2,79127700
-20,23833251;3,25725900
-20,23333251;3,72170300
-20,22833251;3,25725900
-20,22333251;3,72170300
-20,21833251;3,72170300
-20,21333251;3,25725900
-20,20833251;3,25725900
-20,20333251;3,72170300
-20,19833251;3,72170300
-20,19333251;3,72170300
-20,18833251;3,72170300
-20,18333251;3,25725900
-20,17833251;2,79127700
-20,17333251;2,79127700
-20,16833251;2,79127700
-20,16333251;2,32683300
-20,15833251;1,86085100
-20,15333251;2,32683300
-20,14833251;2,32683300
-20,14333251;1,86085100
-20,13833251;1,86085100
-20,13333251;1,39486900
-20,12833251;1,39486900
-20,12333251;0,93042560
-20,11833251;0,93042560
-20,11333251;0,93042560
-20,10833251;0,93042560
-20,10333251;0,00000000
-20,09833251;-0,46444390
-20,09333251;0,00000000
-20,08833251;-0,46444390
-20,08333251;-0,46444390
-20,07833251;-0,46444390
-20,07333251;0,00000000
-20,06833251;-0,46444390
-20,06333251;-0,93042560
-20,05833251;-0,46444390
-20,05333251;-0,46444390
-20,04833251;-0,46444390
-20,04333251;-0,93042560
-20,03833251;-1,39486900
-20,03333251;-0,93042560
-20,02833251;-1,86085100
-20,02333251;-1,86085100
-20,01833251;-1,39486900
-20,01333251;-2,32683300
-20,00833251;-2,79127700
-20,00333251;-2,79127700
-19,99833251;-3,72170300
-19,99333251;-3,25725900
-19,98833251;-3,25725900
-19,98333251;-3,72170300
-19,97833251;-4,18768400
-19,97333251;-4,65366600
-19,96833251;-4,65366600
-19,96333251;-4,65366600
-19,95833251;-5,11811000
-19,95333251;-4,65366600
-19,94833251;-4,65366600
-19,94333251;-5,58409200
-19,93833251;-5,11811000
-19,93333251;-5,11811000
-19,92833251;-3,72170300
-19,92333251;-4,18768400
-19,91833251;-4,65366600
-19,91333251;-3,25725900
-19,90833251;-2,79127700
-19,90333251;-1,86085100
-19,89833251;-1,86085100
-19,89333251;-0,46444390
-19,88833251;0,00000000
-19,88333251;0,46444390
-19,87833251;0,93042560
-19,87333251;1,39486900
-19,86833251;2,32683300
-19,86333251;2,32683300
-19,85833252;2,79127700
-19,85333252;2,32683300
-19,84833252;2,79127700
-19,84333252;2,79127700
-19,83833252;3,25725900
-19,83333252;3,25725900
-19,82833252;2,79127700
